"DB","Lange","Hohe","Name","Kommentar"
"71","9.16845166666667","48.814785","Samstag, den 16.02.2019 um 13:06 Uhr",
"55","9.168195","48.8154583333333","Samstag, den 16.02.2019 um 13:06 Uhr",
"54","9.16812333333333","48.8165216666667","Samstag, den 16.02.2019 um 13:06 Uhr",
"57","9.16834","48.8174133333333","Samstag, den 16.02.2019 um 13:06 Uhr",
"47","9.16863","48.8180733333333","Samstag, den 16.02.2019 um 13:06 Uhr",
"50","9.16930666666667","48.81913","Samstag, den 16.02.2019 um 13:06 Uhr",
"49","9.17015166666667","48.8201066666667","Samstag, den 16.02.2019 um 13:06 Uhr",
"55","9.170915","48.8210966666667","Samstag, den 16.02.2019 um 13:06 Uhr",
"54","9.171315","48.8219566666667","Samstag, den 16.02.2019 um 13:06 Uhr",
"51","9.17145166666667","48.8232966666667","Samstag, den 16.02.2019 um 13:07 Uhr",
"52","9.17122","48.82416","Samstag, den 16.02.2019 um 13:07 Uhr",
"51","9.17058333333333","48.825185","Samstag, den 16.02.2019 um 13:07 Uhr",
"68","9.16995166666667","48.825955","Samstag, den 16.02.2019 um 13:07 Uhr",
"55","9.169195","48.826895","Samstag, den 16.02.2019 um 13:07 Uhr",
"69","9.16851833333333","48.8277233333333","Samstag, den 16.02.2019 um 13:07 Uhr",
"66","9.16794666666667","48.828365","Samstag, den 16.02.2019 um 13:07 Uhr",
"47","9.16761","48.8287716666667","Samstag, den 16.02.2019 um 13:07 Uhr",
"50","9.167465","48.8289516666667","Samstag, den 16.02.2019 um 13:07 Uhr",
"52","9.16723833333333","48.8292716666667","Samstag, den 16.02.2019 um 13:07 Uhr",
"48","9.16716333333333","48.8294116666667","Samstag, den 16.02.2019 um 13:07 Uhr",
"41","9.16716333333333","48.8294116666667","Samstag, den 16.02.2019 um 13:07 Uhr",
"61","9.16716333333333","48.8294116666667","Samstag, den 16.02.2019 um 13:08 Uhr",
"47","9.16716333333333","48.8294116666667","Samstag, den 16.02.2019 um 13:08 Uhr",
"48","9.16716333333333","48.8294116666667","Samstag, den 16.02.2019 um 13:08 Uhr",
"54","9.16700833333333","48.8297083333333","Samstag, den 16.02.2019 um 13:08 Uhr",
"50","9.1661","48.8311833333333","Samstag, den 16.02.2019 um 13:08 Uhr",
"59","9.16565333333333","48.832235","Samstag, den 16.02.2019 um 13:08 Uhr",
"55","9.16588","48.8349366666667","Samstag, den 16.02.2019 um 13:08 Uhr",
"55","9.16654333333333","48.836095","Samstag, den 16.02.2019 um 13:08 Uhr",
"57","9.16762833333333","48.8376733333333","Samstag, den 16.02.2019 um 13:09 Uhr",
"50","9.16890666666667","48.83887","Samstag, den 16.02.2019 um 13:09 Uhr",
"51","9.17012833333333","48.8398116666667","Samstag, den 16.02.2019 um 13:09 Uhr",
"57","9.17241166666667","48.8414633333333","Samstag, den 16.02.2019 um 13:09 Uhr",
"53","9.1711","48.840575","Samstag, den 16.02.2019 um 13:09 Uhr",
"61","9.173395","48.8421883333333","Samstag, den 16.02.2019 um 13:09 Uhr",
"58","9.17442333333333","48.8434883333333","Samstag, den 16.02.2019 um 13:09 Uhr",
"50","9.176365","48.8492966666667","Samstag, den 16.02.2019 um 13:09 Uhr",
